product,country,price,millisSinceEpoch
butter,denmark,269,1241136000000
butter,denmark,269,1243814400000
butter,denmark,271,1246406400000
butter,denmark,280,1249084800000
butter,denmark,305,1251763200000
butter,denmark,308,1254355200000
butter,denmark,307,1257033600000
butter,denmark,307,1259625600000
butter,denmark,307,1262304000000
butter,denmark,304,1264982400000
butter,denmark,304,1267401600000
butter,denmark,304,1270080000000
butter,denmark,304,1272672000000
butter,estonia,247,1083369600000
butter,estonia,257,1086048000000
butter,estonia,259,1088640000000
butter,estonia,273,1091318400000
butter,estonia,270,1093996800000
butter,estonia,268,1096588800000
butter,estonia,272,1099267200000
butter,estonia,270,1101859200000
butter,estonia,269,1104537600000
butter,estonia,263,1107216000000
butter,estonia,258,1109635200000
butter,estonia,253,1112313600000
butter,estonia,245,1114905600000
butter,estonia,226,1117584000000
butter,estonia,258,1120176000000
butter,estonia,261,1122854400000
butter,estonia,261,1125532800000
butter,estonia,240,1459468800000
butter,estonia,315,1472688000000
butter,estonia,327,1475280000000
butter,estonia,444,1480550400000
butter,estonia,438,1483228800000
butter,estonia,443,1488326400000
butter,estonia,452,1491004800000
butter,estonia,546,1498867200000
butter,estonia,626,1501545600000
butter,estonia,602,1504224000000
butter,estonia,573,1506816000000
butter,estonia,550,1509494400000
butter,estonia,582,1525132800000
butter,estonia,440,1551398400000
butter,estonia,388,1564617600000
butter,europe,306,1070236800000
butter,europe,303,1072915200000
butter,europe,299,1075593600000
butter,europe,298,1078099200000
butter,europe,299,1080777600000
butter,europe,300,1083369600000
butter,europe,301,1086048000000
butter,europe,302,1088640000000
butter,europe,301,1091318400000
butter,europe,300,1093996800000
butter,europe,297,1096588800000
butter,europe,295,1099267200000
butter,europe,292,1101859200000
butter,europe,289,1104537600000
butter,europe,284,1107216000000
butter,europe,281,1109635200000
butter,europe,280,1112313600000
butter,europe,278,1114905600000
butter,europe,278,1117584000000
butter,europe,273,1120176000000
butter,europe,271,1122854400000
butter,europe,270,1125532800000
butter,europe,268,1128124800000
butter,europe,266,1130803200000
butter,europe,266,1133395200000
butter,europe,263,1136073600000
butter,europe,259,1138752000000
butter,europe,257,1141171200000
butter,europe,254,1143849600000
butter,europe,251,1146441600000
butter,europe,245,1149120000000
butter,europe,244,1151712000000
butter,europe,243,1154390400000
butter,europe,246,1157068800000
butter,europe,253,1159660800000
butter,europe,256,1162339200000
butter,europe,257,1164931200000
butter,europe,252,1167609600000
butter,europe,249,1170288000000
butter,europe,257,1172707200000
butter,europe,267,1175385600000
butter,europe,281,1177977600000
butter,europe,306,1180656000000
butter,europe,349,1183248000000
butter,europe,392,1185926400000
butter,europe,409,1188604800000
butter,europe,417,1191196800000
butter,europe,391,1193875200000
butter,europe,337,1196467200000
butter,europe,294,1199145600000
butter,europe,293,1201824000000
butter,europe,284,1204329600000
butter,europe,273,1207008000000
butter,europe,271,1209600000000
butter,europe,278,1212278400000
butter,europe,289,1214870400000
butter,europe,280,1217548800000
butter,europe,265,1220227200000
butter,europe,245,1222819200000
butter,europe,231,1225497600000
butter,europe,226,1228089600000
butter,europe,219,1230768000000
butter,europe,215,1233446400000
butter,europe,214,1235865600000
butter,europe,218,1238544000000
